Datetime,sentiment_balance_total,sentiment_volume_consumed_total
2017-02-07 00:00:00+00:00,0.8976932,-0.1666009
2017-02-08 00:00:00+00:00,-0.013632476,-0.20085797
2017-02-09 00:00:00+00:00,1.5675573,-0.08522495
2017-02-10 00:00:00+00:00,5.422815,0.5990583
2017-02-11 00:00:00+00:00,1.6189134,-0.15663114
2017-02-12 00:00:00+00:00,2.391231,0.1362057
2017-02-13 00:00:00+00:00,3.543342,0.3004071
2017-02-14 00:00:00+00:00,10.192634,4.6144996
2017-02-15 00:00:00+00:00,1.7033827,-0.015786247
2017-02-16 00:00:00+00:00,2.8028889,0.14192154
2017-02-17 00:00:00+00:00,0.72065,-0.25861144
2017-02-18 00:00:00+00:00,0.0,-0.28021753
2017-02-19 00:00:00+00:00,0.0,-0.2806001
2017-02-20 00:00:00+00:00,1.6731362,-0.12916553
2017-02-21 00:00:00+00:00,-0.78928524,-0.3006343
2017-02-22 00:00:00+00:00,3.5063221,0.13596545
2017-02-23 00:00:00+00:00,0.7371046,-0.21941812
2017-02-24 00:00:00+00:00,-0.7191757,-0.3496646
2017-02-25 00:00:00+00:00,2.7870138,1.8010881
2017-02-26 00:00:00+00:00,0.0,-0.31072178
2017-02-27 00:00:00+00:00,0.0,-0.31072178
2017-02-28 00:00:00+00:00,0.0,-0.31072178
2017-03-01 00:00:00+00:00,0.74646163,-0.24662192
2017-03-02 00:00:00+00:00,0.0,-0.31190565
2017-03-03 00:00:00+00:00,0.0,-0.31267077
2017-03-04 00:00:00+00:00,0.9096891,-0.28362572
2017-03-05 00:00:00+00:00,0.16302627,-0.26825377
2017-03-06 00:00:00+00:00,0.8523598,-0.22164002
2017-03-07 00:00:00+00:00,0.0,-0.27322403
2017-03-08 00:00:00+00:00,0.0,-0.27322403
2017-03-09 00:00:00+00:00,1.8381612,0.70865446
2017-03-10 00:00:00+00:00,-0.8934407,-0.78973436
2017-03-11 00:00:00+00:00,0.0,-0.28017485
2017-03-12 00:00:00+00:00,0.73621684,-0.28017485
2017-03-13 00:00:00+00:00,0.17482662,-0.258758
2017-03-14 00:00:00+00:00,1.6713908,-0.23046741
2017-03-15 00:00:00+00:00,0.0,-0.28064436
2017-03-16 00:00:00+00:00,-0.9112796,-0.30757686
2017-03-17 00:00:00+00:00,3.9169242,-0.28022248
2017-03-18 00:00:00+00:00,1.7366168,1.1930768
2017-03-19 00:00:00+00:00,0.7925949,0.34733653
2017-03-20 00:00:00+00:00,0.0,-0.28050664
2017-03-21 00:00:00+00:00,1.6939433,1.7162056
2017-03-22 00:00:00+00:00,0.7367863,0.22009486
2017-03-23 00:00:00+00:00,0.0,-0.3542934
2017-03-24 00:00:00+00:00,1.5832417,-0.20861562
2017-03-25 00:00:00+00:00,0.0,-0.35608065
2017-03-26 00:00:00+00:00,0.024395704,-0.35357773
